samples,energies
[C][O][C][=C][C][=C][Branch2][Ring2][#Branch1][C][C][C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][=N][N][Ring1][N][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][C][=C][Ring2][Ring1][N];0,6.892
[N][#C][C][=C][C][=C][C][Branch1][Ring1][C][#N][=C][Ring1][Branch2][N];0,8.9239
[C][=C][S][C][=C][C][Branch2][Ring2][N][C][=N][C][=N][C][Branch2][Ring1][S][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][=Branch2][C][=C][C][=C][C][C][=C][O][C][=Ring1][Branch1][C][=C][Ring1][=Branch2][NH1][Ring1][N][=N][Ring2][Ring1][O][=C][C][=C][Ring2][Ring1][P][N][Ring2][Ring2][Branch1];0,6.135
[O][=C][C][=C][C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][=C][C][=C][C][=C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][C][=C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][C][=C][C][=C][Ring2][Ring1][S][C][Ring2][Ring1][Branch2][=C][Ring1][=Branch1][Ring2][Ring1][=Branch1];0,6.0742
[C][=C][S][C][=C][C][Branch2][Ring2][O][C][=C][C][=N][C][Branch2][Ring1][#C][C][=C][C][=C][Branch2][Ring1][Ring1][N][C][=C][C][=C][C][O][C][=C][C][=Ring1][Branch1][C][=C][Ring1][=Branch2][Ring1][N][N][=C][Ring2][Ring1][C][=N][Ring2][Ring1][Branch2][=C][C][=C][Ring2][Ring1][=C][N][Ring2][Ring2][C];0,6.0128
[N][#C][C][=C][C][=C][Branch1][C][N][C][=N][O][N][=C][Ring1][#Branch2][Ring1][Branch1];0,8.8095
[C][=C][C][=C][Branch2][Ring1][Ring1][C][=C][C][=N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][Ring1][N][C][=C][Ring2][Ring1][C];0,7.5782
[C][N][Branch1][C][C][C][=C][C][=C][Branch1][#C][C][#C][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][C][=C][Ring1][S];0,7.0173
[C][C][=C][N][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=Branch1][C][=O][NH1][C][Ring1][O][=O];0,9.8381
[O][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1];0,9.3416
[N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][Ring1][#Branch1][=O];0,8.6236
[C][C][C][C][C][=C][C][Branch1][Ring1][C][=O][=C][C][=C][C][=C][Branch1][Branch1][C][C][C][C][C][=C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][C][=C][C][=C][Ring2][Ring1][#Branch2][C][Ring2][Ring1][=Branch1][=C][Ring2][Ring1][Ring2][Ring1][=Branch1];0,6.5492
[O][=C][Branch1][C][O][C][O][C][=C][C][=C][NH1][C][=C][Branch1][#Branch1][C][Ring1][Branch1][=C][Ring1][=Branch2][C][C][C][C][Ring1][Branch2][=O];0,7.5209
